Number of Vertices: 108
(0,-1,0|0,-1,0)
(0.5,-1,-0.125|0,-1,-0.125)
(0,-0.5,0|0,-1,0)
(0,-0.5,0|0,-1,0)
(0.5,-1,-0.125|0,-1,-0.125)
(0.5,-1,-0.125|0,-1,-0.125)
(0,-0.5,0|0,-0.5,0)
(0.5,-0.5,1|0,-0.5,1)
(0,0,0|0,-0.5,0)
(0,0,0|0,-0.5,0)
(0.5,-0.5,1|0,-0.5,1)
(0.5,-0.5,1|0,-0.5,1)
(0,0,0|0,0,0)
(0.5,0,1.375|0,0,1.375)
(0,0.5,0|0,0,0)
(0,0.5,0|0,0,0)
(0.5,0,1.375|0,0,1.375)
(0.5,0,1.375|0,0,1.375)
(0,0.5,0|0,0.5,0)
(0.5,0.5,1|0,0.5,1)
(0,1,0|0,0.5,0)
(0,1,0|0,0.5,0)
(0.5,0.5,1|0,0.5,1)
(0.5,0.5,1|0,0.5,1)
(0,1,0|0,1,0)
(0.5,1,-0.125|0,1,-0.125)
(0,1.5,0|0,1,0)
(0,1.5,0|0,1,0)
(0.5,1,-0.125|0,1,-0.125)
(0.5,1,-0.125|0,1,-0.125)
(0,1.5,0|0,1.5,0)
(0.5,1.5,-2|0,1.5,-2)
(0,2,0|0,1.5,0)
(0,2,0|0,1.5,0)
(0.5,1.5,-2|0,1.5,-2)
(0.5,1.5,-2|0,1.5,-2)
(0.5,-1,-0.125|0.5,-1,-0.125)
(1,-1,-1|0.5,-1,-1)
(0.5,-0.5,1|0.5,-1,1)
(0.5,-0.5,1|0.5,-1,1)
(1,-1,-1|0.5,-1,-1)
(1,-1,-1|0.5,-1,-1)
(0.5,-0.5,1|0.5,-0.5,1)
(1,-0.5,1.25|0.5,-0.5,1.25)
(0.5,0,1.375|0.5,-0.5,1.375)
(0.5,0,1.375|0.5,-0.5,1.375)
(1,-0.5,1.25|0.5,-0.5,1.25)
(1,-0.5,1.25|0.5,-0.5,1.25)
(0.5,0,1.375|0.5,0,1.375)
(1,0,2|0.5,0,2)
(0.5,0.5,1|0.5,0,1)
(0.5,0.5,1|0.5,0,1)
(1,0,2|0.5,0,2)
(1,0,2|0.5,0,2)
(0.5,0.5,1|0.5,0.5,1)
(1,0.5,1.25|0.5,0.5,1.25)
(0.5,1,-0.125|0.5,0.5,-0.125)
(0.5,1,-0.125|0.5,0.5,-0.125)
(1,0.5,1.25|0.5,0.5,1.25)
(1,0.5,1.25|0.5,0.5,1.25)
(0.5,1,-0.125|0.5,1,-0.125)
(1,1,-1|0.5,1,-1)
(0.5,1.5,-2|0.5,1,-2)
(0.5,1.5,-2|0.5,1,-2)
(1,1,-1|0.5,1,-1)
(1,1,-1|0.5,1,-1)
(1,-1,-1|1,-1,-1)
(1.5,-1,-3.375|1,-1,-3.375)
(1,-0.5,1.25|1,-1,1.25)
(1,-0.5,1.25|1,-1,1.25)
(1.5,-1,-3.375|1,-1,-3.375)
(1.5,-1,-3.375|1,-1,-3.375)
(1,-0.5,1.25|1,-0.5,1.25)
(1.5,-0.5,0|1,-0.5,0)
(1,0,2|1,-0.5,2)
(1,0,2|1,-0.5,2)
(1.5,-0.5,0|1,-0.5,0)
(1.5,-0.5,0|1,-0.5,0)
(1,0,2|1,0,2)
(1.5,0,1.125|1,0,1.125)
(1,0.5,1.25|1,0,1.25)
(1,0.5,1.25|1,0,1.25)
(1.5,0,1.125|1,0,1.125)
(1.5,0,1.125|1,0,1.125)
(1,0.5,1.25|1,0.5,1.25)
(1.5,0.5,0|1,0.5,0)
(1,1,-1|1,0.5,-1)
(1,1,-1|1,0.5,-1)
(1.5,0.5,0|1,0.5,0)
(1.5,0.5,0|1,0.5,0)
(1.5,-1,-3.375|1.5,-1,-3.375)
(2,-1,-8|1.5,-1,-8)
(1.5,-0.5,0|1.5,-1,0)
(1.5,-0.5,0|1.5,-1,0)
(2,-1,-8|1.5,-1,-8)
(2,-1,-8|1.5,-1,-8)
(1.5,-0.5,0|1.5,-0.5,0)
(2,-0.5,-3.5|1.5,-0.5,-3.5)
(1.5,0,1.125|1.5,-0.5,1.125)
(1.5,0,1.125|1.5,-0.5,1.125)
(2,-0.5,-3.5|1.5,-0.5,-3.5)
(2,-0.5,-3.5|1.5,-0.5,-3.5)
(1.5,0,1.125|1.5,0,1.125)
(2,0,-2|1.5,0,-2)
(1.5,0.5,0|1.5,0,0)
(1.5,0.5,0|1.5,0,0)
(2,0,-2|1.5,0,-2)
(2,0,-2|1.5,0,-2)
